image_name,correct_cells,user_id,selected_cells,elapsed_seconds,all_correct,timeout,system_time
COD10K-CAM-2-Terrestrial-38-Lizard-2286.jpg,"0,1,2,4,5,6,7,8",1111111,"0,1",5.054,False,False,2025-08-24 15:24:22
COD10K-CAM-2-Terrestrial-38-Lizard-2286.jpg,"0,1,2,4,5,6,7,8",1111111,"0,1,4",9.224,False,False,2025-08-24 15:24:26
COD10K-CAM-2-Terrestrial-38-Lizard-2286.jpg,,1111111,,,,True,2025-08-24 15:24:28
COD10K-CAM-3-Flying-60-Heron-3911.jpg,"0,1,2,3,4,6,7,8",1111111,"3,4",3.705,False,False,2025-08-24 15:24:32
COD10K-CAM-3-Flying-60-Heron-3911.jpg,"0,1,2,3,4,6,7,8",1111111,"3,4,5,6,7,8",8.721,False,False,2025-08-24 15:24:37
COD10K-CAM-3-Flying-60-Heron-3911.jpg,"0,1,2,3,4,6,7,8",1111111,"0,1,2,3,4,5,6,7,8",11.078,False,False,2025-08-24 15:24:39
COD10K-CAM-3-Flying-60-Heron-3911.jpg,,1111111,,,,True,2025-08-24 15:24:39
COD10K-CAM-2-Terrestrial-23-Cat-1381.jpg,"0,1,2,4,6,7,8",1111111,"3,4",5.994,False,False,2025-08-24 15:24:45
COD10K-CAM-2-Terrestrial-23-Cat-1381.jpg,"0,1,2,4,6,7,8",1111111,"3,4,6,7",7.82,False,False,2025-08-24 15:24:47
COD10K-CAM-2-Terrestrial-23-Cat-1381.jpg,"0,1,2,4,6,7,8",1111111,"3,4,5,6,7,8",9.495,False,False,2025-08-24 15:24:49
COD10K-CAM-2-Terrestrial-23-Cat-1381.jpg,,1111111,,,,True,2025-08-24 15:24:50
COD10K-CAM-2-Terrestrial-24-Caterpillar-1644.jpg,"0,1,2,3,4,5,6,7,8",1111111,,0.253,False,False,2025-08-24 15:24:51
COD10K-CAM-2-Terrestrial-24-Caterpillar-1644.jpg,"0,1,2,3,4,5,6,7,8",1111111,,1.887,False,False,2025-08-24 15:24:52
COD10K-CAM-2-Terrestrial-24-Caterpillar-1644.jpg,"0,1,2,3,4,5,6,7,8",1111111,"0,1,2,3,4,5,6,7,8",5.251,True,False,2025-08-24 15:24:56
COD10K-CAM-3-Flying-59-Grasshopper-3847.jpg,"0,1,2,3,4,5,6,7,8",1111111,"0,1,2,3,4,5,6,7,8",3.084,True,False,2025-08-24 15:24:59
COD10K-CAM-3-Flying-55-Butterfly-3370.jpg,"0,1,2,3,6,7,8",1111111,"0,1,2,3,4,5,6,7,8",3.19,False,False,2025-08-24 15:25:02
COD10K-CAM-3-Flying-55-Butterfly-3370.jpg,"0,1,2,3,6,7,8",1111111,"0,1,2,3,4,5",5.195,False,False,2025-08-24 15:25:04
COD10K-CAM-3-Flying-55-Butterfly-3370.jpg,,1111111,,,,True,2025-08-24 15:25:10
COD10K-CAM-3-Flying-65-Owl-4648.jpg,,1111111,,,,True,2025-08-24 15:25:22
COD10K-CAM-2-Terrestrial-23-Cat-1453.jpg,,1111111,,,,True,2025-08-24 15:25:33
COD10K-CAM-1-Aquatic-3-Crab-23.jpg,,1111111,,,,True,2025-08-24 15:25:44
COD10K-CAM-3-Flying-62-Mantis-4279.jpg,,1111111,,,,True,2025-08-24 15:25:55
COD10K-CAM-1-Aquatic-6-Fish-174.jpg,,1111111,,,,True,2025-08-24 15:26:06
COD10K-CAM-2-Terrestrial-47-Tiger-2893.jpg,,1111111,,,,True,2025-08-24 15:26:17
COD10K-CAM-2-Terrestrial-29-Dog-1831.jpg,,1111111,,,,True,2025-08-24 15:26:29
COD10K-CAM-3-Flying-62-Mantis-4253.jpg,,1111111,,,,True,2025-08-24 15:26:40
COD10K-CAM-1-Aquatic-15-SeaHorse-992.jpg,,1111111,,,,True,2025-08-24 15:26:51
COD10K-CAM-1-Aquatic-15-SeaHorse-978.jpg,,1111111,,,,True,2025-08-24 15:27:02
COD10K-CAM-3-Flying-61-Katydid-4224.jpg,"3,4,5,6,7",1445551,"3,4,6",4.037,False,False,2025-08-24 15:31:14
COD10K-CAM-3-Flying-61-Katydid-4224.jpg,"3,4,5,6,7",1445551,"3,4",9.713,False,False,2025-08-24 15:31:20
COD10K-CAM-3-Flying-61-Katydid-4224.jpg,,1445551,,,,True,2025-08-24 15:31:21
COD10K-CAM-2-Terrestrial-38-Lizard-2245.jpg,4,1445551,"4,7",5.187,False,False,2025-08-24 15:31:26
COD10K-CAM-2-Terrestrial-38-Lizard-2245.jpg,4,1445551,4,6.911,True,False,2025-08-24 15:31:28
COD10K-CAM-4-Amphibian-68-Toad-5021.jpg,"4,5,7",1445551,"4,7",2.346,False,False,2025-08-24 15:31:31
COD10K-CAM-4-Amphibian-68-Toad-5021.jpg,"4,5,7",1445551,"4,5,7",6.453,True,False,2025-08-24 15:31:35
COD10K-CAM-2-Terrestrial-32-Giraffe-1937.jpg,"1,3,4,6,7",1445551,"1,3,4,6,7",3.737,True,False,2025-08-24 15:31:38
COD10K-CAM-1-Aquatic-13-Pipefish-788.jpg,"0,1,3,4,5,8",1445551,3,4.885,False,False,2025-08-24 15:31:43
COD10K-CAM-1-Aquatic-13-Pipefish-788.jpg,,1445551,,,,True,2025-08-24 15:31:50
COD10K-CAM-1-Aquatic-13-Pipefish-836.jpg,"0,3,4,5,6,7,8",1445551,,0.093,False,False,2025-08-24 15:31:50
COD10K-CAM-1-Aquatic-13-Pipefish-836.jpg,"0,3,4,5,6,7,8",1445551,"4,5,6,7,8",4.301,False,False,2025-08-24 15:31:54
COD10K-CAM-1-Aquatic-13-Pipefish-836.jpg,"0,3,4,5,6,7,8",1445551,"0,3,4,5,6,7,8",6.217,True,False,2025-08-24 15:31:56
COD10K-CAM-3-Flying-57-Dragonfly-3580.jpg,"1,2,4,5,6,7,8",1075520029841111,"1,2,4,6,7",7.059,False,False,2025-08-24 17:35:02
COD10K-CAM-3-Flying-57-Dragonfly-3580.jpg,"1,2,4,5,6,7,8",1075520029841111,"1,2,3,4,6,7,8",9.63,False,False,2025-08-24 17:35:05
COD10K-CAM-3-Flying-57-Dragonfly-3580.jpg,,1075520029841111,,,,True,2025-08-24 17:35:06
COD10K-CAM-2-Terrestrial-26-Chameleon-1730.jpg,"0,1,3,4,6,7",1075520029841111,"0,1,3,4,6,7",4.492,True,False,2025-08-24 17:35:11
COD10K-CAM-3-Flying-59-Grasshopper-3650.jpg,"2,3,4,5,7,8",1075520029841111,"3,4,5,7,8",4.451,False,False,2025-08-24 17:35:15
COD10K-CAM-3-Flying-59-Grasshopper-3650.jpg,"2,3,4,5,7,8",1075520029841111,"3,4,5,6,7,8",7.245,False,False,2025-08-24 17:35:18
COD10K-CAM-3-Flying-59-Grasshopper-3650.jpg,"2,3,4,5,7,8",1075520029841111,"2,3,4,5,7,8",9.724,True,False,2025-08-24 17:35:21
